First Name,Last Name,Title,Account Name,Status
Carly,Newman,Head of Innovation & Partnerships,500 Global,Active Member Firm
Clayton,Bryan,Partner,500 Global,Active Member Firm
Courtney,Powell,COO,500 Global,Active Member Firm
Tracy,Barba,,500 Global,Active Member Firm
Zina,Moukheiber,Senior Director of Global Communications,500 Global,Active Member Firm
Tracy,Barba,,500 Global,Active Member Firm
Yingjie,Wang,Associate,500 Global,Active Member Firm
Bonnie,Gregg,Legal,500 Global,Active Member Firm
Natalie,Riso,Marketing,500 Global,Active Member Firm
Darek,DeFreece,General Counsel,500 Global,Active Member Firm
Roland,Osborne,Principal,500 Global,Active Member Firm
Tony,Wang,Managing Partner,500 Global,Active Member Firm
Tim,Chae,Managing Partner,500 Global,Active Member Firm
Saskia,Howard,Head of Strategic Relations,500 Global,Active Member Firm
Helen,Park,"Senior Manager, Founder Tools",500 Global,Active Member Firm
Jeremy,Mason,Counsel,500 Global,Active Member Firm
Brinda,Dutta,General Counsel,500 Global,Active Member Firm
Philippe,Schenk,Head of Investor Relations,500 Global,Active Member Firm
Ally,Boffa-Taylor,Investor Relations,500 Global,Active Member Firm
Christine,Tsai,"Founding Partner, CEO",500 Global,Active Member Firm
David,McClure,Founding Partner,500 Global,Active Member Firm
Peter,Lee,Vice President,500 Global,Active Member Firm
Santiago,Zavala,Managing Partner,500 Global,Active Member Firm
Bedy,Yang,Managing Partner,500 Global,Active Member Firm
Khailee,Ng,Managing Partner,500 Global,Active Member Firm
Marvin,Liao,Venture Partner,500 Global,Active Member Firm
Max,Fram-Schwartz,Associate,500 Global,Active Member Firm
Victoria,Kennard,Director of Strategic Operations,500 Global,Active Member Firm
Paul,Yoo,CFO,500 Global,Active Member Firm
Hasan,Haider,Partner,500 Global,Active Member Firm
Joe,Sisco,Legal Operations Associate,500 Global,Active Member Firm
Elizabeth,Yin,Partner,500 Global,Active Member Firm
Emily,Chiu,"Venture Partner, M&A",500 Global,Active Member Firm
Monique,Woodard,Partner,500 Global,Active Member Firm
Kelsey,Cullen,Director of Public Relations,500 Global,Active Member Firm
Aerin,Lim,Head of the West Coast,500 Global,Active Member Firm
Ulviya,Daroodi,Legal Operations Associate,500 Global,Active Member Firm
Christina,Vernali,Legal Operations Associate,500 Global,Active Member Firm
Heena,Virani,Corporate Counsel,500 Global,Active Member Firm
Mei Chel,Tan,Partner,500 Global,Active Member Firm
Adam,Benayoun,Partner,500 Global,Active Member Firm
Mike,Sigal,EIR,500 Global,Active Member Firm
Philipp,Moehring,Venture Partner,500 Global,Active Member Firm
Sunjay,Singhal,Partner,500 Global,Active Member Firm
Mike,Cegelski,Managing Partner,500 Global,Active Member Firm
David,Dufresne,Partner,500 Global,Active Member Firm
Patrick,Lor,Venture Partner,500 Global,Active Member Firm
Neha,Khera,Partner,500 Global,Active Member Firm
Newton,Davis,Investor in Training,500 Global,Active Member Firm
Binh,Tran,Venture Partner,500 Global,Active Member Firm
Brett,Fink,"Manager, Business Development",500 Global,Active Member Firm
Justin,Ledbetter,"Manger, Business Development",500 Global,Active Member Firm
Krystal,Acquah,,500 Global,Active Member Firm
Monica,Matison,Head of HR,500 Global,Active Member Firm
Jon,Li,,500 Global,Active Member Firm
Annie,Woodworth,Associate Counsel,500 Global,Active Member Firm
Charlie,O'Dell,,500 Global,Active Member Firm
500 Global,Finance,,500 Global,Active Member Firm
500 Global,AP,,500 Global,Active Member Firm
Coren,Tamboli,Investor Relations Coordinator & Executive Assistant to Andrew Schwab,5AM Ventures,Active Member Firm
David,Allison,Partner,5AM Ventures,Active Member Firm
Mostafa,Wassel,Paralegal,5AM Ventures,Active Member Firm
Judy,Koh,,5AM Ventures,Active Member Firm
Neha,Atreya,,5AM Ventures,Active Member Firm
Galya,Blachman,CCO and General Counsel,5AM Ventures,Active Member Firm
Denise,Lyle,"Vice President, Human Resources",5AM Ventures,Active Member Firm
Louis,Tartaglia,Venture Partner,5AM Ventures,Active Member Firm
Deborah,Palestrant,"Partner, Head of 4:59",5AM Ventures,Active Member Firm
Steve,Braunschweig,Sr. Accounting Manager,5AM Ventures,Active Member Firm
Kristi,Romanowski,Executive Assistant to Andy Schwab,5AM Ventures,Active Member Firm
Jackie,Brough,Controller,5AM Ventures,Active Member Firm
Michelle,Ho,Senior Associate,5AM Ventures,Active Member Firm
Jenny,Wang,"Director, Tax",5AM Ventures,Active Member Firm
Kori,Rahaim,,5AM Ventures,Active Member Firm
Michael,Klein,Principal,5AM Ventures,Active Member Firm
Max,Farina,Associate,5AM Ventures,Active Member Firm
Rathnam,Venkat,Associate,5AM Ventures,Active Member Firm
Katie,Spielberg,Associate,5AM Ventures,Active Member Firm
Elliott,Levy,,5AM Ventures,Active Member Firm
Test,Dummy Contact,General Counsel,5AM Ventures,Active Member Firm
Andrew,Schwab,Managing Partner,5AM Ventures,Active Member Firm
Scott,Rocklage,Founding Partner,5AM Ventures,Active Member Firm
Kevin,Forrest,Principal,5AM Ventures,Active Member Firm
Jenny,Lee,"Vice President, Finance",5AM Ventures,Active Member Firm
Mark,Colella,Principal,5AM Ventures,Active Member Firm
Paul,Stone,Partner,5AM Ventures,Active Member Firm
Richard,Ulevitch,Venture Partner,5AM Ventures,Active Member Firm
James,Young,Venture Partner,5AM Ventures,Active Member Firm
Mason,Freeman,Venture Partner,5AM Ventures,Active Member Firm
Kush,Parmar,Managing Partner,5AM Ventures,Active Member Firm
John,Diekman,Founding Partner,5AM Ventures,Active Member Firm
Kamila,Bajerski,Accountant,5AM Ventures,Active Member Firm
Hannah,Chang,Associate,5AM Ventures,Active Member Firm
Mira,Chaurushiya,Associate,5AM Ventures,Active Member Firm
Brian,Daniels,Partner,5AM Ventures,Active Member Firm
Arjun,Goyal,Associate,5AM Ventures,Active Member Firm
Peter,Kim,Venture Advisor,5AM Ventures,Active Member Firm
Rebecca,Lucia,"Partner, CFO / COO",5AM Ventures,Active Member Firm
Ann,Albrecht,Executive Assistant/Office Manager,5AM Ventures,Active Member Firm
Jason,Ruth,,5AM Ventures,Active Member Firm
Britt Inga,Emerson,Investor Relations Manager,5AM Ventures,Active Member Firm
_,Finance Team,,5AM Ventures,Active Member Firm
Chrisoula,Markoulakis,Executive Assistant,5AM Ventures,Active Member Firm
Aaron,Holiday,Cofounder & Managing Partner,645 Ventures,Active Member Firm
Abe,Spence,CFO,645 Ventures,Active Member Firm
Vardan,Gattani,,645 Ventures,Active Member Firm
Pete,Keenan,VP Finance,645 Ventures,Active Member Firm
Nnamdi,Okike,Managing Partner,645 Ventures,Active Member Firm
CJ,Chonlathit,Controller,645 Ventures,Active Member Firm
Seilala,Estavan,Executive Assistant,645 Ventures,Active Member Firm
Cristal,Gonzalez,Executive Assistant/Office Manager,645 Ventures,Active Member Firm
Lee,Shapiro,Founder & Managing Partner,7wire Ventures,Active Member Firm
Robert,Garber,Managing Partner,7wire Ventures,Active Member Firm
Alyssa,Jaffee,Partner,7wire Ventures,Active Member Firm
Joslin,Owens,Director of Finance,7wire Ventures,Active Member Firm
Glen,Tullman,Founder & Managing Partner,7wire Ventures,Active Member Firm
Derek,Lindblom,Vice President & Chief of Staff,7wire Ventures,Active Member Firm
Scott,Leisher,Operating Partner,7wire Ventures,Active Member Firm
Tom,Main,Venture Partner & Chief Strategy Officer,7wire Ventures,Active Member Firm
Brian,Vandenberg,General Counsel,7wire Ventures,Active Member Firm
Robert,Garber,Managing Partner,7wire Ventures,Active Member Firm
Lauren,Mifflin,Venture Partner,82VS,Active Member Firm
Andrei,Ramirez-Valdez,Venture Associate,82VS,Active Member Firm
Josh,Peters,Venture Associate,82VS,Active Member Firm
Nicole,Kogan,Fellow,82VS,Active Member Firm
Ross,Leimberg,Venture Partner,82VS,Active Member Firm
Ahmed,Annan,Chief of Staff,82VS,Active Member Firm
Trier,Bryant,President,82VS,Active Member Firm
Chris,Pacheco,Executive Partner,82VS,Active Member Firm
Fah,Sathirapongsasuti,Director of Bioinformatics,82VS,Active Member Firm
Laurel,Handler-Vosen,People Enablement Partner,82VS,Active Member Firm
Melissa,Lokugamage,Venture Associate,82VS,Active Member Firm
Sophia,Lai,Venture Associate,82VS,Active Member Firm
Aseda,Tena,Fellow,82VS,Active Member Firm
Sara,Hakim,Fellow,82VS,Active Member Firm
Torin,Kovach,Bioinformatics Intern,82VS,Active Member Firm
Carlos,Loya,Executive in Residence,82VS,Active Member Firm
Ugur,Eskiocak,Entrepreneur in Residence,82VS,Active Member Firm
Ahmed,Mady,Executive in Residence,82VS,Active Member Firm
Iva,Todjarska,Venture Partner,82VS,Active Member Firm
Caitlin,Tolman,VP Fund Operations,82VS,Active Member Firm
Patrick,Sagisi,Director & Investment Partner,Acario Innovation,Active Member Firm
Derek,Higashihara,Principal,Acario Innovation,Active Member Firm
Toshiharu,Okui,,Acario Innovation,Active Member Firm
Nigel,Carr,,Acario Innovation,Active Member Firm
Shinji,Amaha,,Acario Innovation,Active Member Firm
Kenji,Maeda,CEO,Acario Innovation,Active Member Firm
Mio,Arakawa,Office Manager,Acario Innovation,Active Member Firm
Yu,Kawasaki,,Acario Innovation,Active Member Firm
Toshiharu,Okui,CEO,Acario Innovation,Active Member Firm
Abbey,Leland,Assistant to Rich Wong,Accel,Active Member Firm
Chantelle,Darby,VP of Communications,Accel,Active Member Firm
Elain,Szu,Entrepreneur in Residence,Accel,Active Member Firm
Don,Clay,Associate General Counsel,Accel,Active Member Firm
James,Breyer,Partner Emeritus,Accel,Active Member Firm
Nate,Niparko,Partner,Accel,Active Member Firm
Subrata,Mitra,"Partner, India",Accel,Active Member Firm
Miles,Clements,Partner,Accel,Active Member Firm
Barath,Shankar Subramanian,"Partner, India",Accel,Active Member Firm
Uy,Ut,Chief Information Officer,Accel,Active Member Firm
Daniel,Levine,Partner,Accel,Active Member Firm
Steve,Loughlin,Partner,Accel,Active Member Firm
Vas,Natarajan,Partner,Accel,Active Member Firm
Seth,Pierrepont,"Partner, London",Accel,Active Member Firm
Andrei,Brasoveanu,"Partner, London",Accel,Active Member Firm
Luciana,Lixandru,"Partner, London",Accel,Active Member Firm
Luca,Bocchio,"Partner, London",Accel,Active Member Firm
Dinesh,Katiyar,"Partner, India",Accel,Active Member Firm
Abhinav,Chaturvedi,"Partner, India",Accel,Active Member Firm
Prayank,Swaroop,"Partner, India",Accel,Active Member Firm
Brianna,Rose,,Accel,Active Member Firm
Ben,Fletcher,,Accel,Active Member Firm
Rich,Wong,,Accel,Active Member Firm
Ryan,Connor,Global CFO,Accel,Active Member Firm
Amit,Kumar,,Accel,Active Member Firm
Jaspreet,Singh,"VP, Finance",Accel,Active Member Firm
Tracy,Sedlock,Chief Operating Partner,Accel,Active Member Firm
Kevin,Efrusy,Partner,Accel,Active Member Firm
Ping,Li,Partner,Accel,Active Member Firm
Harry,Nelis,"Partner, London",Accel,Active Member Firm
John,Locke,Partner,Accel,Active Member Firm
Jonathan,Biggs,"Chief Financial Officer, London",Accel,Active Member Firm
Philippe,Botteri,"Partner, London",Accel,Active Member Firm
Andrew,Braccia,Partner,Accel,Active Member Firm
Anne,Rockhold,Chief Financial Officer,Accel,Active Member Firm
Sameer,Gandhi,Partner,Accel,Active Member Firm
Sonali,De Rycker,"Partner, London",Accel,Active Member Firm
Ryan,Sweeney,Partner,Accel,Active Member Firm
Prashanth,Prakash,"Partner, India",Accel,Active Member Firm
Mahendran,Balachandran,"Partner, India",Accel,Active Member Firm
Shekhar,Kirani,"Partner, India",Accel,Active Member Firm
Jake,Flomenberg,Partner,Accel,Active Member Firm
Michael,Treskow,"VP, London",Accel,Active Member Firm
Cynthia,Leung,Controller,Accel,Active Member Firm
Brian,O'Malley,Partner,Accel,Active Member Firm
Kevin,Comolli,"Partner, London",Accel,Active Member Firm
Bruce,Golden,"Partner, London",Accel,Active Member Firm
Arthur,Patterson,Partner,Accel,Active Member Firm
James,Swartz,Partner,Accel,Active Member Firm
Fred,Destin,"Partner, London",Accel,Active Member Firm
Nancy,Holloway,"Assistant to Arthur Patterson, James Swartz, Kevin Efrusy",Accel,Active Member Firm
Anand,Daniel,"Partner, India",Accel,Active Member Firm
Richard,Zamboldi,General Counsel,Accel,Active Member Firm
Larry,Yu,Marketing Partner,Accel,Active Member Firm
Steve,Mnich,Communications Director,Accel,Active Member Firm
Peter,Clarke,Talent Partner,Accel,Active Member Firm
Scott,James,Associate General Counsel,Accel,Active Member Firm
Invoice,Accounts Payable,,Accel,Active Member Firm
Hannah,Huckaby,,Accel,Active Member Firm
Richard,Wong,Partner,Accel,Active Member Firm
Subrata,Mitra,"Partner, India",Accel,Active Member Firm
Lily,Dang,Tax and Fund Accountant,Accel,Active Member Firm
Ashley,Andersen,,Accel,Active Member Firm
Casey,Aylward,Partner,Accel,Active Member Firm
Amy,Saper,Partner,Accel,Active Member Firm
Ben,Quazzo,Partner,Accel,Active Member Firm
Sara,Ittelson,Partner,Accel,Active Member Firm
Myrel,Iturrey,Investor,Accel,Active Member Firm
Jess,Segal,IR Partner,Accel,Active Member Firm
Jonathan,Turner,Partner,Accel,Active Member Firm
Arun,Mathew,Partner,Accel,Active Member Firm
Matt,Weigand,Partner,Accel,Active Member Firm
Hannah,Huckaby,Management Accountant,Accel,Active Member Firm
Jayni,Shah,,Accomplice,Active Member Firm
Barry,Feldman,Partner Emeritus,Accomplice,Active Member Firm
TJ,Mahony,Partner,Accomplice,Active Member Firm
Cack,Wilhelm,Partner,Accomplice,Active Member Firm
Sam,Clemens,,Accomplice,Active Member Firm
Frank,Castellucci,General Counsel and Partner,Accomplice,Active Member Firm
Jeff,Fagnan,Founder,Accomplice,Active Member Firm
Ryan,Moore,General Partner,Accomplice,Active Member Firm
Chris,Lynch,,Accomplice,Active Member Firm
Dustin,Dolginow,Venture Partner,Accomplice,Active Member Firm
Travis,MacInnes,CFO,Accomplice,Active Member Firm
Sarah,Downey,Director of Comminity,Accomplice,Active Member Firm
Anup,Jacob,Managing Partner & Co-Founder,Activate Capital,Active Member Firm
David,Lincoln,Managing Partner & Co-Founder,Activate Capital,Active Member Firm
Anna,Nitschke,"Head of Finance, Operations and Platform",Activate Capital,Active Member Firm
Rajesh,Atluru,Managing Partner & Co-Founder,Activate Capital,Active Member Firm
Michael,DeRosa,Managing Director,Activate Capital,Active Member Firm
Eric,Meyer,Principal,Activate Capital,Active Member Firm
Paul,Jordan,Principal,Activate Capital,Active Member Firm
Phyllis,Reid,Director of Finance,Activate Capital,Active Member Firm
Jordan,Rohrlich,,Activate Capital,Active Member Firm
Jon,Guerster,Partner,Activate Capital,Active Member Firm
Susan,Stella,Head of Investor Relations & ESG,Activate Capital,Active Member Firm
Patti,Szczepaniak,Chief of Staff & Human Resources,Activate Capital,Active Member Firm
Leila,Martin,Associate,Activate Capital,Active Member Firm
Caroline,Chick,Senior Associate,Activate Capital,Active Member Firm
Emma,Bell,Vice President,Activate Capital,Active Member Firm
Avery,Park,Associate,Activate Capital,Active Member Firm
Tim,Healy,Operating Partner,Activate Capital,Active Member Firm
Evan,Friedman,Associate,Activate Capital,Active Member Firm
Anna,Nitschke,COO,Activate Capital,Active Member Firm
Glen,Bressner,Managing Partner,Activate Venture Partners,Active Member Firm
Gyan,Kapur,Vice President,Activate Venture Partners,Active Member Firm
Don,Yount,General Partner,Activate Venture Partners,Active Member Firm
Jeffrey,Davison,Venture Partner,Activate Venture Partners,Active Member Firm
Jarred,Bressner,Principal,Activate Venture Partners,Active Member Firm
Edwin,Goodman,Venture Partner,Activate Venture Partners,Active Member Firm
F. Morgan,Rodd,General Partner,Activate Venture Partners,Active Member Firm
Todd,Pietri,Managing Partner,Activate Venture Partners,Active Member Firm
Richard,Dumler,General Partner,Activate Venture Partners,Active Member Firm
Avlyn,Ashterman-Reece,Fund Administrator,Activate Venture Partners,Active Member Firm
Jennifer,Parulo,"CFO, Venture Capital","Adams Capital Management, Inc.",Active Member Firm
Matthew,Kline,Senior Financial Analyst,"Adams Capital Management, Inc.",Active Member Firm
Joel,Adams,General Partner,"Adams Capital Management, Inc.",Active Member Firm
Andrea,Adams,Treasurer,"Adams Capital Management, Inc.",Active Member Firm
Harris,Jones,Operating Partner,"Adams Capital Management, Inc.",Active Member Firm
Ali,Lauer,Investor,"Adams Street Partners, L.L.C.",Active Member Firm
Kevin,O'Donnell,Partner & Global Head of Investor Relations,"Adams Street Partners, L.L.C.",Active Member Firm
James,Walker,Partner & Chief Operating Officer,"Adams Street Partners, L.L.C.",Active Member Firm
Alejandra,Lesch,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Matt,Autrey,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Philipp,Bohren,Partner & Head of Information Technology,"Adams Street Partners, L.L.C.",Active Member Firm
LeAnn,Ritter,EA,"Adams Street Partners, L.L.C.",Active Member Firm
Carolyn,Flanagan,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Jana,Tortora,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Fred,Wang,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Mike,Taylor,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Tyson,Bauer,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Jason,Gordon,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Emily,Abrash,"Associate, Marketing","Adams Street Partners, L.L.C.",Active Member Firm
Kelly,Howard,Head of Marketing,"Adams Street Partners, L.L.C.",Active Member Firm
Lon,Allan,,"Adams Street Partners, L.L.C.",Active Member Firm
Laura,Niekamp,Legal Assistant,"Adams Street Partners, L.L.C.",Active Member Firm
Melissa,Zilch,Asssociate,"Adams Street Partners, L.L.C.",Active Member Firm
Amanda,Chandler,Associate,"Adams Street Partners, L.L.C.",Active Member Firm
Yohan,Hill,,"Adams Street Partners, L.L.C.",Active Member Firm
Vikram,Chari,Associate,"Adams Street Partners, L.L.C.",Active Member Firm
Piau,Voon Wang,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Michael,Lynn,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Thomas,Gladden,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Thomas,Berman,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Patty,Gallagher,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Katherine,Wanner,,"Adams Street Partners, L.L.C.",Active Member Firm
Elizabeth,Christensen,,"Adams Street Partners, L.L.C.",Active Member Firm
Kevin,Callahan,,"Adams Street Partners, L.L.C.",Active Member Firm
Charles,Denison,Principal,"Adams Street Partners, L.L.C.",Active Member Firm
Sarah,Bass,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Mhahesh,Madhavan,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Mike,Kurlander,"Partner, Chief Financial Officer","Adams Street Partners, L.L.C.",Active Member Firm
Bon,French,Chairman,"Adams Street Partners, L.L.C.",Active Member Firm
Megan,Heneghan,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Alicia,Pando,"Partner, Chief Technology Officer","Adams Street Partners, L.L.C.",Active Member Firm
Jian,Zhang,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
David,Weller,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Brian,Dudley,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Jennifer,Brown,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Lynn,Hayden,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Fred,Chung,"Partner, Head of Credit Underwriting","Adams Street Partners, L.L.C.",Active Member Firm
Alex,Kessel,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Bill,Sacher,"Partner, Head of Private Credit Investments","Adams Street Partners, L.L.C.",Active Member Firm
Christina,Totton,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Douglas,Wong,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Justin,Lawrence,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Triste,Wyckoff-Heintz,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Leland,Richards,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Sara,Cushing,"Partner, Fund Controller","Adams Street Partners, L.L.C.",Active Member Firm
Scott,Rybak,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Steve,Landau,"Partner, Head of Product Strategy","Adams Street Partners, L.L.C.",Active Member Firm
Scott,White,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Tobias,TRUE,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Mike,Lucarelli,"Partner, Head of IR, High Net Worth","Adams Street Partners, L.L.C.",Active Member Firm
Jeffrey,Diehl,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
J. Gary,Fencik,Senior Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Miguel,Gonzalo,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
James,Korczak,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Jeffrey,Burgis,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Raymond,Chan,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Arnaud,de Cremiers,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
John,Gray,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Jason,Gull,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Timothy,Kelly,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Troy,Barnett,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Jana,Monier,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Kelly,Meldrum,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
David,Brett,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Jeffrey,Akers,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Gregory,Holden,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Mike,Zappert,Principal,"Adams Street Partners, L.L.C.",Active Member Firm
Yar-Ping,Soo,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Joseph,Goldrick,Principal,"Adams Street Partners, L.L.C.",Active Member Firm
Craig,Waslin,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
David,Welsh,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Sunil,Mishra,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Quintin,Kevin,Chief Financial Officer,"Adams Street Partners, L.L.C.",Active Member Firm
Timothy,Bryant,General Counsel,"Adams Street Partners, L.L.C.",Active Member Firm
Eric,Mansell,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Scott,Hazen,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Pinal,Nicum,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Ross,Morrison,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Morgan,Holzaepfel,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Doris,Guo,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Sachin,Tulyani,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Anne,Semik,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Stephen,Baranowski,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Eva,Chongshan Huang,Senior Associate,"Adams Street Partners, L.L.C.",Active Member Firm
Rebecca,Boyer,,"Adams Street Partners, L.L.C.",Active Member Firm
T. Bondurant,French,Chairman,"Adams Street Partners, L.L.C.",Active Member Firm
Terry,Gould,Senior Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Sergey,Sheshuryak,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Hanneke,Smits,Chief Investment Officer,"Adams Street Partners, L.L.C.",Active Member Firm
Robin,Murray,Partner,"Adams Street Partners, L.L.C.",Active Member Firm
Kris,Toma,Assistant to Bon French,"Adams Street Partners, L.L.C.",Active Member Firm
